Category,Name,Type,Description
Standard,ISO 20022,International Standard,Financial messaging standards
Standard,ISO 6523,International Standard,International Standard for Organization Identifiers
Standard,ISO 3166,International Standard,Country codes for company locations
Standard,ISO 8000,International Standard,Data quality standards for product features
Standard,UNSPSC,Product Classification,United Nations Standard Products and Services Code
Standard,eCl@ss,Product Classification,International product classification
Standard,ETIM,Product Classification,Technical product information models
Standard,GS1,Product Classification,Product identification and traceability
Standard,Open Catalog Interface (OCI),E-commerce Standard,Product catalog exchange
Standard,Product Information Management (PIM),E-commerce Standard,Master data standards
Standard,BMEcat,E-commerce Standard,European e-commerce product exchange
Standard,OpenPricer,Pricing Standard,Price management standards
Standard,Pricing Model Markup Language (PMML),Pricing Standard,Price model exchange
Standard,ISO 8000,Data Quality Standard,Data quality standards for product features
Organization,UN/CEFACT,UN Agency,Trade and e-business standards
Organization,OAGIS,Industry Group,Open Applications Group - Business process and data standards
Organization,FIBO,Industry Group,Financial Industry Business Ontology
Organization,ACORD,Industry Group,Insurance industry organization standards
Organization,HL7,Healthcare Standard,Healthcare organization schemas
Organization,W3C,Web Standards,Web standards and schemas
Organization,OASIS,Open Standards,Open standards for business
Organization,IEEE,Technical Standards,Technical standards including data models
Framework,TOGAF,Enterprise Architecture,Enterprise architecture feature modeling
Framework,Feature-Oriented Domain Analysis (FODA),Software Framework,Software feature schemas
Framework,Common Information Model (CIM),IT Framework,IT infrastructure features
Framework,GraphQL,API Framework,Schema definition with type safety
Framework,OpenAPI/Swagger,API Framework,API specification with validation
Framework,tRPC,API Framework,End-to-end type safety for APIs
Framework,Prisma,Database Framework,Type-safe database schema with validation
Framework,TypeORM,Database Framework,Entity validation and constraints
Framework,SQLAlchemy,Database Framework,Python ORM with validation
Framework,JPA/Hibernate,Database Framework,Java persistence with Bean Validation
Framework,Schema.org,Web Schema,Web markup schemas
Framework,JSON-LD,Data Format,Linked data format
Framework,JSON Schema,Validation Framework,API specification standards
Framework,Zod,Validation Library,Type-safe schema validation
Framework,Joi,Validation Library,Rich validation rules
Framework,Pydantic,Validation Library,Data validation with type hints
Framework,Valiktor,Validation Library,Kotlin validation framework
Framework,Ajv,Validation Library,Fastest JSON Schema validator
Framework,jsonschema,Validation Library,Python JSON Schema validation
Framework,json-schema-validator,Validation Library,Java JSON Schema validation
Vendor,Salesforce,CRM Platform,Standard objects and relationships
Vendor,HubSpot,CRM Platform,Contact, Company, Deal schemas
Vendor,Shopify,E-commerce Platform,Product, Customer, Order schemas
Vendor,Microsoft Dynamics,ERP Platform,Unified API for Microsoft 365
Vendor,Microsoft Graph,API Platform,Unified API for Microsoft 365
Vendor,AWS Service Catalog,Cloud Platform,Resource and service definitions
Vendor,Oracle,Database Platform,Enterprise database schemas
Vendor,SAP,ERP Platform,Enterprise resource planning schemas
Vendor,IBM,Technology Company,Enterprise integration schemas
Vendor,Wikipedia,Online Platform,API schemas for content
Vendor,GitHub,Development Platform,API schemas for repositories
