Entity,StandardsDocuments,MainWebsite,TechnicalDocs,Specifications,References
ISO,ISO20022 ISO6523 ISO3166 ISO8000 ISOIEC11179,https://www.iso.org,https://www.iso.org/standards.html,https://www.iso20022.org https://www.iso.org/standard/43482.html https://www.iso.org/iso-3166-country-codes.html https://www.iso.org/standard/50798.html https://www.iso.org/standard/50340.html,ISO20022 ISO6523 ISO3166 ISO8000 ISOIEC11179
UNCEFACT,CoreComponentsLibrary BusinessProcessModels TradeFacilitation XMLSchemas ImplementationGuides,https://unece.org/cefact,https://unece.org/cefact/standards,https://unece.org/trade/cefact/core-components https://unece.org/trade/cefact/business-process-models https://unece.org/trade/cefact/trade-facilitation https://unece.org/trade/cefact/xml-schemas https://unece.org/trade/cefact/implementation-guides,UNCEFACT standards trade facilitation
W3C,Schemaorg JSONLD RDF OWL SKOS,https://www.w3.org,https://www.w3.org/standards,https://schema.org/docs/full.html https://www.w3.org/TR/json-ld11/ https://www.w3.org/TR/rdf11-concepts/ https://www.w3.org/TR/owl2-overview/ https://www.w3.org/TR/skos-reference/,Schema.org semantic web web standards https://schema.org
IEEE,IEEE1471 IEEE1016 IEEE830 IEEE12207 IEEE42010,https://www.ieee.org,https://standards.ieee.org,https://standards.ieee.org/standard/1471-2000.html https://standards.ieee.org/standard/1016-2009.html https://standards.ieee.org/standard/830-1998.html https://standards.ieee.org/standard/12207-2017.html https://standards.ieee.org/standard/42010-2011.html,Technical standards data modeling
FIBO,FIBOFoundations FIBOBusinessEntities FIBOFinancialInstruments ImplementationGuide BestPractices,https://spec.edmcouncil.org/fibo,https://spec.edmcouncil.org/fibo/ontology,https://spec.edmcouncil.org/fibo/ontology/FND/ https://spec.edmcouncil.org/fibo/ontology/BE/ https://spec.edmcouncil.org/fibo/ontology/FI/ https://spec.edmcouncil.org/fibo/implementation-guide/ https://spec.edmcouncil.org/fibo/best-practices/,Financial ontology business concepts
ACORD,AL3Standard XMLStandards DataDictionary ImplementationGuides BestPractices,https://www.acord.org,https://www.acord.org/standards,https://www.acord.org/standards/standards-development/al3 https://www.acord.org/standards/standards-development/xml https://www.acord.org/standards/standards-development/data-dictionary https://www.acord.org/standards/implementation https://www.acord.org/standards/best-practices,Insurance standards data exchange
HL7FHIR,FHIRResources FHIRAPIs FHIRExtensions ImplementationGuide BestPractices,https://www.hl7.org/fhir,https://www.hl7.org/fhir/resourcelist.html,https://www.hl7.org/fhir/resourcelist.html https://www.hl7.org/fhir/http.html https://www.hl7.org/fhir/validation.html https://www.hl7.org/fhir/implementation.html https://www.hl7.org/fhir/best-practices.html,Healthcare EHR interoperability
OAGIS,BusinessObjectDocuments ProcessModels XMLSchemas ImplementationGuide BestPractices,https://www.oagi.org,https://www.oagi.org/standards,https://www.oagi.org/standards/bod https://www.oagi.org/standards/process-models https://www.oagi.org/standards/xml-schemas https://www.oagi.org/standards/implementation https://www.oagi.org/standards/best-practices,Business integration enterprise applications
Salesforce,SalesforceDataModel MetadataAPI RESTAPI SOAPAPI GraphQLAPI,https://developer.salesforce.com,https://developer.salesforce.com/docs/atlas.en-us.api.meta/api,https://developer.salesforce.com/docs/atlas.en-us.object_reference.meta/object_reference/ https://developer.salesforce.com/docs/atlas.en-us.api_meta.meta/api_meta/ https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/ https://developer.salesforce.com/docs/atlas.en-us.api.meta/api/ https://developer.salesforce.com/docs/atlas.en-us.api_graphql.meta/api_graphql/,Lightning Platform metadata CRM
HubSpot,CRMProperties MarketingAPI Webhooks SchemaBuilder DataSync,https://developers.hubspot.com,https://developers.hubspot.com/docs/api/crm/properties,https://developers.hubspot.com/docs/api/crm/properties https://developers.hubspot.com/docs/api/marketing https://developers.hubspot.com/docs/api/webhooks https://developers.hubspot.com/docs/api/crm/schemas https://developers.hubspot.com/docs/api/data-sync,Marketing automation CRM APIs
Shopify,AdminAPI StorefrontAPI GraphQLAdminAPI Webhooks Metafields,https://shopify.dev,https://shopify.dev/docs/api/admin-rest,https://shopify.dev/docs/api/admin-rest https://shopify.dev/docs/api/storefront https://shopify.dev/docs/api/admin-graphql https://shopify.dev/docs/apps/webhooks https://shopify.dev/docs/apps/metafields,E-commerce product schemas customer data
MicrosoftDynamics365,CommonDataModel WebAPI PowerPlatform BusinessRules Workflows,https://dynamics.microsoft.com,https://docs.microsoft.com/en-us/common-data-model/schema/core/entities,https://docs.microsoft.com/en-us/common-data-model/schema/core/entities/ https://docs.microsoft.com/en-us/dynamics365/customer-engagement/web-api/overview https://docs.microsoft.com/en-us/powerapps/maker/data-platform/ https://docs.microsoft.com/en-us/dynamics365/customer-engagement/customize/create-business-rules-recommendations https://docs.microsoft.com/en-us/dynamics365/customer-engagement/customize/workflow-processes,Dynamics 365 CDM Graph API
AWS,CloudFormation ServiceCatalog GlueDataCatalog SchemaRegistry DataExchange,https://aws.amazon.com,https://docs.aws.amazon.com/cloudformation,https://docs.aws.amazon.com/cloudformation/ https://docs.aws.amazon.com/servicecatalog/ https://docs.aws.amazon.com/glue/latest/dg/populate-data-catalog.html https://docs.aws.amazon.com/glue/latest/dg/schema-registry.html https://docs.aws.amazon.com/data-exchange/,CloudFormation service catalog cloud schemas
Oracle,FusionApplications DatabaseSchema DataIntegrator EnterpriseDataModel BusinessRules,https://www.oracle.com,https://docs.oracle.com/en/cloud/saas,https://docs.oracle.com/en/cloud/saas/ https://docs.oracle.com/en/database/oracle/oracle-database/ https://docs.oracle.com/en/middleware/data-integrator/ https://docs.oracle.com/en/database/oracle/oracle-database/ https://docs.oracle.com/en/middleware/soa-suite/soa-suite/,Fusion Applications database schemas ERP
SAP,BusinessTechnologyPlatform DataModels IntegrationSuite MasterDataGovernance BusinessRules,https://www.sap.com/products/technology-platform.html,https://help.sap.com/viewer,https://help.sap.com/viewer/product/SAP_BUSINESS_TECHNOLOGY_PLATFORM https://help.sap.com/viewer/product/SAP_HANA https://help.sap.com/viewer/product/SAP_CLOUD_PLATFORM_INTEGRATION https://help.sap.com/viewer/product/SAP_MASTER_DATA_GOVERNANCE https://help.sap.com/viewer/product/SAP_BUSINESS_RULES,Business Technology Platform data models ERP systems
IBM,InfoSphere WatsonStudio DataStage InformationGovernance DataVirtualization,https://www.ibm.com,https://www.ibm.com/docs,https://www.ibm.com/docs/en/infosphere-information-server https://www.ibm.com/docs/en/watson-studio https://www.ibm.com/docs/en/datastage https://www.ibm.com/docs/en/information-governance-catalog https://www.ibm.com/docs/en/data-virtualization,Integration analytics enterprise schemas
GraphQL,GraphQLSpecification SchemaLanguage Introspection BestPractices Tools,https://graphql.org,https://graphql.org/learn/schema,https://spec.graphql.org/ https://graphql.org/learn/schema/ https://graphql.org/learn/introspection/ https://graphql.org/learn/best-practices/ https://graphql.org/code/,API design schema-first introspection
OpenAPISwagger,OpenAPISpecification Extensions Tools BestPractices Examples,https://www.openapis.org,https://spec.openapis.org/oas/v3.1.0,https://spec.openapis.org/oas/v3.1.0 https://swagger.io/docs/specification/openapi-extensions/ https://swagger.io/tools/ https://swagger.io/docs/specification/best-practices/ https://swagger.io/docs/specification/examples/,REST APIs API specification web services
Prisma,PrismaSchema Migrations Client Studio BestPractices,https://www.prisma.io,https://www.prisma.io/docs/concepts/components/prisma-schema,https://www.prisma.io/docs/concepts/components/prisma-schema https://www.prisma.io/docs/concepts/components/prisma-migrate https://www.prisma.io/docs/concepts/components/prisma-client https://www.prisma.io/docs/concepts/tools/prisma-studio https://www.prisma.io/docs/guides/,Database schemas migrations ORM
TypeORM,Entities Migrations Schema Relations BestPractices,https://typeorm.io,https://typeorm.io/#/entities,https://typeorm.io/#/entities https://typeorm.io/#/migrations https://typeorm.io/#/schema https://typeorm.io/#/relations https://typeorm.io/#/faq,ORM schema generation TypeScript
JSONSchema,Core Validation Hypermedia Examples BestPractices,https://json-schema.org,https://json-schema.org/learn/getting-started-step-by-step,https://json-schema.org/draft/2020-12/json-schema-core.html https://json-schema.org/draft/2020-12/json-schema-validation.html https://json-schema.org/draft/2020-12/json-schema-hypermedia.html https://json-schema.org/learn/getting-started-step-by-step https://json-schema.org/learn/getting-started-step-by-step,Data validation JSON documentation
Schemaorg,FullSchema GettingStarted Extensions Examples BestPractices,https://schema.org,https://schema.org/docs/full.html,https://schema.org/docs/full.html https://schema.org/docs/gs.html https://schema.org/docs/extension.html https://schema.org/examples https://schema.org/docs/gs.html,Web markup SEO structured data
